Disease Name,Drug Name
Nocardiosis,"sulfamethoxazole ,  trimethoprim"
Nocturia,desmopressin
Nocturnal Leg Cramps,"carisoprodol, verapamil, vitamin e"
Non-24-Hour Sleep Wake Disorder,tasimelteon
Non-Hodgkin's Lymphoma,"bendamustine, bleomycin, carmustine, cyclophosphamide, cytarabine, fludarabine, ibritumomab, ibrutinib, idelalisib, methotrexate, mitoxantrone, rituximab, vincristine"
Non-Small Cell Lung Cancer,"bevacizumab, cisplatin, crizotinib, erlotinib, gefitinib, methotrexate, nivolumab, paclitaxel, pemetrexed"
Nonalcoholic Fatty Liver Disease,"betaine, orlistat, pioglitazone, rosiglitazone, ursodiol"
Nongonococcal Urethritis,"azithromycin, clarithromycin, doxycycline, erythromycin, levofloxacin, metronidazole"
Noninfectious Colitis,"belladonna, dicyclomine"
Nonketotic Hyperosmolar Syndrome,"insulin aspart, insulin glulisine, insulin lispro, insulin regular"
Nonobstructive Oliguria,"dopamine, ethacrynic acid, furosemide, torsemide"
Nonoccupational Exposure,"abacavir, abacavir ,  lamivudine, atazanavir, efavirenz, emtricitabine ,  tenofovir, lamivudine, lamivudine ,  zidovudine, lopinavir ,  ritonavir, tenofovir, zidovudine"
Noonan's Syndrome,somatropin
Nosocomial Pneumonia,"amikacin, cefepime, ceftazidime, cilastatin ,  imipenem, ciprofloxacin, levofloxacin, linezolid, meropenem, piperacillin ,  tazobactam, vancomycin"
Obesity,"bupropion, bupropion ,  naltrexone, diethylpropion, lorcaserin, methamphetamine, orlistat, phendimetrazine, phentermine, phentermine ,  topiramate, topiramate"
Obsessive Compulsive Disorder,"aripiprazole, citalopram, clomipramine, clonazepam, escitalopram, fluoxetine, fluvoxamine, mirtazapine, olanzapine, ondansetron, paroxetine, quetiapine, sertraline, tramadol, venlafaxine, ziprasidone"
Obstructive Sleep Apnea/Hypopnea Syndrome,"armodafinil, modafinil, solriamfetol"
Occipital Neuralgia,"carbamazepine, citalopram, gabapentin, pregabalin"
Occupational Exposure,"abacavir, abacavir ,  lamivudine, efavirenz, emtricitabine, emtricitabine ,  tenofovir, lamivudine, lamivudine ,  zidovudine, raltegravir, tenofovir, zidovudine"
Ocular Fungal Infection,voriconazole
Ocular Rosacea,"doxycycline, erythromycin, minocycline, tetracycline"
Oligospermia,clomiphene
Oliguria,"furosemide, mannitol"
"Onchocerciasis, River Blindness","ivermectin, moxidectin"
Onychomycosis,undecylenic acid
"Onychomycosis, Fingernail","ciclopirox, fluconazole, griseofulvin, itraconazole, ketoconazole, terbinafine"
"Onychomycosis, Toenail","ciclopirox, efinaconazole, fluconazole, griseofulvin, itraconazole, ketoconazole, tavaborole, terbinafine"
Oophorectomy,"conjugated estrogens, conjugated estrogens ,  medroxyprogesterone, esterified estrogens, estradiol, estropipate, ethinyl estradiol"
Ophthalmic Surgery,"besifloxacin, ciprofloxacin, gatifloxacin, ketorolac ,  phenylephrine, levofloxacin, lidocaine, moxifloxacin, ofloxacin, ophthalmic irrigation, intraocular, proparacaine"
Ophthalmic Surgical Staining,trypan blue
Ophthalmic Viscoelastic Agent,"sodium chondroitin sulfate ,  sodium hyaluronate, sodium hyaluronate"
Opiate Adjunct,promethazine
Opiate Dependence,"buprenorphine, buprenorphine ,  naloxone, naltrexone"
Opiate Dependence - Induction,buprenorphine
Opiate Dependence - Maintenance,buprenorphine
Opiate Withdrawal,"chlordiazepoxide, chlorpromazine, clonidine, lofexidine, methadone, methocarbamol"
Opioid Overdose,naloxone
Opioid-Induced Constipation,"lubiprostone, methylnaltrexone, naldemedine, naloxegol"
"Opisthorchis viverrini, Liver Fluke",praziquantel
Oppositional Defiant Disorder,lisdexamfetamine
Optic Neuritis,corticotropin
Oral Allergy Syndrome,epinephrine
Oral Thrush,"amphotericin b, clotrimazole, fluconazole, gentian violet, itraconazole, ketoconazole, miconazole, nystatin, posaconazole"
Oral and Dental Conditions,"benzocaine, hydrogen peroxide"
Orbicularis Oculi,onabotulinumtoxinA
"Organ Transplant, Rejection Prophylaxis","azathioprine, basiliximab, cyclophosphamide, cyclosporine, daclizumab, everolimus, mycophenolate mofetil, sirolimus, tacrolimus"
"Organ Transplant, Rejection Reversal",tacrolimus
Organophosphate Poisoning,"atropine, atropine ,  pralidoxime, pralidoxime, tropicamide"
Ornithosis,"chloramphenicol, doxycycline, tetracycline"
Osteoarthritis,"aspirin, celecoxib, chondroitin ,  glucosamine, diclofenac, duloxetine, etodolac, ibuprofen, meloxicam, nabumetone, naproxen, prednisone"
Osteogenesis Imperfecta,calcitonin
Osteogenic Sarcoma,cisplatin
Osteolytic Bone Lesions of Multiple Myeloma,"denosumab, pamidronate, zoledronic acid"
Osteolytic Bone Metastases of Solid Tumors,"denosumab, zoledronic acid"
Osteomalacia,"calcium lactate, calcium phosphate, tribasic, ergocalciferol"
Osteopenia,"calcium carbonate, cholecalciferol ,  genistein ,  zinc glycinate"
Osteopetrosis,interferon gamma-1b
Osteoporosis,"alendronate, calcitonin, calcium ,  vitamin d, calcium carbonate, denosumab, estradiol, hydrochlorothiazide, ibandronate, raloxifene, risedronate, teriparatide, zoledronic acid"
Osteosarcoma,"cyclophosphamide, dactinomycin, doxorubicin, methotrexate"
Otitis Externa,"acetic acid, acetic acid ,  aluminum acetate, acetic acid ,  hydrocortisone, ceftazidime, ciprofloxacin ,  dexamethasone, colistin sulfate ,  hydrocortisone ,  neomycin ,  thonzonium bromide, hydrocortisone ,  neomycin ,  polymyxin b"
Otitis Media,"amoxicillin, amoxicillin ,  clavulanate, azithromycin, cefdinir, cefuroxime, cephalexin, ciprofloxacin ,  dexamethasone, clarithromycin, erythromycin, hydrocortisone ,  neomycin ,  polymyxin b, levofloxacin, ofloxacin, sulfamethoxazole ,  trimethoprim"
Ovarian Cancer,"bevacizumab, carboplatin, cisplatin, doxorubicin, doxorubicin liposomal, gemcitabine, melphalan, methotrexate, olaparib, paclitaxel, topotecan"
Ovarian Cysts,"ethinyl estradiol ,  levonorgestrel, ethinyl estradiol ,  norgestimate"
Overactive Bladder,"darifenacin, onabotulinumtoxinA"
Ovulation Induction,"cetrorelix, chorionic gonadotropin (hcg), clomiphene, follicle stimulating hormone, menotropins"
PANDAS Syndrome,fluoxetine
Paget's Disease,"alendronate, calcitonin, etidronate, pamidronate, risedronate, zoledronic acid"
Pain,"acetaminophen, acetaminophen ,  hydrocodone, acetaminophen ,  oxycodone, amitriptyline, gabapentin, hydrocodone, ibuprofen, ketorolac, naproxen, oxycodone, tramadol"
Pain/Fever,"acetaminophen ,  aspirin ,  caffeine, acetaminophen ,  dextromethorphan ,  doxylamine ,  phenylephrine, acetaminophen ,  dextromethorphan ,  phenylephrine, naproxen ,  pseudoephedrine"
Pancreatic Cancer,"bevacizumab, capecitabine, cetuximab, erlotinib, everolimus, fluorouracil, gemcitabine, irinotecan liposomal, methotrexate, mitomycin, olaparib, paclitaxel protein-bound, pancreatin, streptozocin, sunitinib"
Pancreatic Exocrine Dysfunction,pancrelipase
Pancreatic Secretion,sincalide
Pancreatitis,"albumin human, pancreatin"
Panic Disorder,"alprazolam, bupropion, buspirone, citalopram, clonazepam, fluoxetine, lorazepam, paroxetine, propranolol, sertraline, venlafaxine"
Paracoccidioidomycosis,"amphotericin b, itraconazole, ketoconazole"
Paraganglioma,iobenguane I 131
"Paragonimus westermani, Lung Fluke",praziquantel
Paranoid Disorder,"clozapine, olanzapine, quetiapine, risperidone, ziprasidone"
Parkinson's Disease,"amantadine, benztropine, carbidopa ,  entacapone ,  levodopa, carbidopa ,  levodopa, entacapone, pramipexole, rasagiline, ropinirole, selegiline, trihexyphenidyl"
Parkinson's Disease Psychosis,pimavanserin
Parkinsonian Tremor,"belladonna, carbidopa, nadolol, scopolamine, zonisamide"
Parkinsonism,levodopa
Paronychia,"bacitracin ,  hydrocortisone ,  neomycin ,  polymyxin b, bacitracin ,  neomycin ,  polymyxin b, clotrimazole, econazole, gentamicin, mupirocin, nystatin"
Paroxysmal Nocturnal Hemoglobinuria,"eculizumab, ravulizumab"
Paroxysmal Supraventricular Tachycardia,flecainide
Patency Maintenance of Indwelling Intravenous Devices,heparin flush
Patent Ductus Arteriosus,"alprostadil, ibuprofen, indomethacin"
Pathological Hypersecretory Conditions,"esomeprazole, famotidine, ranitidine"
Pathological Hypersecretory Disorder,magnesium oxide
Pediatric Angiocardiography,ioversol
Pediatric Growth Hormone Deficiency,somatropin
Pellagra,niacin
Pelvic Infections,"cilastatin ,  imipenem, ertapenem"
Pelvic Inflammatory Disease,"azithromycin, cefotaxime, ceftazidime, ceftriaxone, clindamycin, doxycycline, levofloxacin, metronidazole, ofloxacin"
Pemphigoid,"azathioprine, cyclophosphamide, dapsone, doxycycline, erythromycin, methotrexate, minocycline, mycophenolate mofetil, prednisolone, prednisone, rituximab, tetracycline"
Pemphigus,"azathioprine, cyclophosphamide, cyclosporine, dapsone, dexamethasone, doxycycline, methotrexate, minocycline, mycophenolate mofetil, niacinamide, prednisolone, prednisone, rituximab, tetracycline"
Pemphigus Vulgaris,rituximab
Penicillin Sensitization Testing,benzylpenicilloyl-polylysine
Peptic Ulcer,"aluminum hydroxide, belladonna, chlordiazepoxide ,  clidinium, clidinium, famotidine, glycopyrrolate, methscopolamine, pantoprazole, propantheline"
Percutaneous Coronary Intervention,"bivalirudin, cangrelor, clopidogrel, eptifibatide"
Performance Anxiety,propranolol
Perimenopausal Symptoms,"clonidine, estradiol ,  progesterone, ospemifene, progesterone"
Period Pain (Dysmenorrhea),"celecoxib, diclofenac, ibuprofen, ketoprofen, mefenamic acid, naproxen"
Periodic Limb Movement Disorder,"baclofen, clonazepam, gabapentin, levodopa, pramipexole, ropinirole"
Periodontitis,"carbamide peroxide, chlorhexidine, doxycycline, minocycline"
Perioral Dermatitis,"benzoyl peroxide, clindamycin, erythromycin, metronidazole, pimecrolimus, tacrolimus"
Peripheral Angiography,iohexol
Peripheral Arterial Disease,"clopidogrel, rivaroxaban, vorapaxar"
Peripheral Arteriography,"iodixanol, iopromide, ioversol"
Peripheral Neuropathy,"capsaicin, carbamazepine, duloxetine, gabapentin, levocarnitine, phenytoin, pregabalin"
Peripheral Progenitor Cell Transplantation,filgrastim
Peripheral T-cell Lymphoma,"belinostat, pralatrexate, romidepsin"
Peritoneal Cancer,"bevacizumab, niraparib"
Peritoneal dialysis,lvp solution
Peritonitis,"albumin human, cefazolin, cefotaxime, ceftazidime, ceftriaxone, cefuroxime, cilastatin ,  imipenem, ciprofloxacin, clindamycin, gentamicin, metronidazole, piperacillin ,  tazobactam, vancomycin"
Pernicious Anemia,cyanocobalamin
Persistent Depressive Disorder,"amitriptyline, bupropion, citalopram, duloxetine, fluoxetine, fluvoxamine, paroxetine, sertraline"
Pertussis,"azithromycin, clarithromycin, erythromycin"
Pertussis Prophylaxis,"azithromycin, clarithromycin, diphtheria and tetanus toxoids ,  pertussis, acellular, diphtheria and tetanus toxoids ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  haemophilus b conjugate ,  hepatitis b vaccine, diphtheria toxoid ,  haemophilus b conjugate (prp-t) vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  hepatitis b pediatric vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  pertussis, acellular ,  tetanus toxoid"
Peyronie's Disease,collagenase clostridium histolyticum
Pharyngitis,"ampicillin, azithromycin, cephalexin, clarithromycin, dicloxacillin, erythromycin, prednisone"
Phenylketonuria,"pegvaliase, sapropterin"
Pheochromocytoma,"iobenguane I 131, labetalol, metyrosine, phenoxybenzamine, phentolamine, propranolol"
Pheochromocytoma Diagnosis,"clonidine, phentolamine"
Photoaging of the Skin (Dermatoheliosis),tretinoin
Physical Urticaria,"cetirizine, fexofenadine, loratadine"
Pinworm Infection (Enterobius vermicularis),"albendazole, mebendazole, pyrantel"
Pituitary Adenoma,octreotide
Pityriasis rubra pilaris,"acitretin, isotretinoin, lactic acid, methotrexate, triamcinolone, urea"
Plague,"chloramphenicol, ciprofloxacin, doxycycline, gentamicin, levofloxacin, moxifloxacin, ofloxacin, streptomycin"
Plague Prophylaxis,"ciprofloxacin, levofloxacin, moxifloxacin"
Plantar Fasciitis,"acetaminophen, ibuprofen"
Plantar Fibromatosis,"clobetasol, triamcinolone"
Plaque Psoriasis,"adalimumab, apremilast, betamethasone, betamethasone ,  calcipotriene, brodalumab, calcipotriene, dexamethasone, etanercept, hydroxyurea, ixekizumab, methylprednisolone, secukinumab"
Platelet Aggregation Inhibition,clopidogrel
Pleural Effusion,"doxycycline, sterile talc"
Pneumococcal Disease Prophylaxis,"pneumococcal 13-valent vaccine, pneumococcal 23-polyvalent vaccine"
Pneumocystis Pneumonia,"atovaquone, clindamycin, dapsone, leucovorin, pentamidine, primaquine, sulfamethoxazole ,  trimethoprim, trimethoprim"
Pneumocystis Pneumonia Prophylaxis,"atovaquone, dapsone, leucovorin, pentamidine, pyrimethamine, sulfamethoxazole ,  trimethoprim"
Pneumonia,"amoxicillin, amoxicillin ,  clavulanate, azithromycin, cefdinir, cefotaxime, ceftriaxone, cefuroxime, ciprofloxacin, clarithromycin, clindamycin, doxycycline, levofloxacin, metronidazole, moxifloxacin, sulfamethoxazole ,  trimethoprim"
Pneumonia with Cystic Fibrosis,"aztreonam, ceftazidime, cilastatin ,  imipenem, ciprofloxacin, piperacillin"
Poison Ivy,"pramoxine ,  zinc acetate"
Poison Oak,"pramoxine ,  zinc acetate"
Poison Sumac,"pramoxine ,  zinc acetate"
Poliomyelitis Prophylaxis,"diphtheria and tetanus toxoids ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  haemophilus b conjugate ,  hepatitis b vaccine, diphtheria toxoid ,  haemophilus b conjugate (prp-t) vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  hepatitis b pediatric vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, poliovirus vaccine, inactivated"
Polychondritis,infliximab
Polycystic Kidney Disease,"captopril, enalapril, lisinopril"
Polycystic Ovary Syndrome,"desogestrel ,  ethinyl estradiol, drospirenone ,  ethinyl estradiol, drospirenone ,  ethinyl estradiol ,  levomefolate calcium, ethinyl estradiol ,  levonorgestrel, ethinyl estradiol ,  norethindrone, metformin"
Polycythemia Vera,"hydroxyurea, ruxolitinib"
Polymyalgia Rheumatica,"ibuprofen, prednisone"
Polymyositis/Dermatomyositis,"corticotropin, immune globulin intravenous, prednisone"
Pompe disease,alglucosidase alfa
Pork Tapeworm Infection (Taenia solium),"paromomycin, praziquantel"
Porphyria,"chlorpromazine, givosiran, hemin"
Portal Hypertension,"nadolol, propranolol"
Positron Emission Tomography Imaging,"choline c-11, florbetaben f-18, florbetapir F 18, fluciclovine F 18, flutemetamol f-18, gallium ga 68 dotatate, gallium ga-68 dotatoc, rubidium chloride rb-82"
Post Traumatic Stress Disorder,"amitriptyline, aripiprazole, asenapine, desvenlafaxine, dronabinol, fluvoxamine, lamotrigine, mirtazapine, paroxetine, prazosin, quetiapine, risperidone, sertraline, venlafaxine"
Post-Cholecystectomy Diarrhea,cholestyramine
Post-Polio Syndrome,amantadine
Postanesthetic Shivering,"clonidine, ondansetron"
Postherpetic Neuralgia,"capsaicin, clonidine, gabapentin, gabapentin enacarbil, lidocaine, nortriptyline, pregabalin"
Postmenopausal Symptoms,"conjugated estrogens, conjugated estrogens ,  medroxyprogesterone, estradiol, estradiol ,  norethindrone, estropipate, ethinyl estradiol ,  norethindrone, gabapentin"
Postoperative Albumin Loss,albumin human
Postoperative Gas Pains,"simethicone, vasopressin"
Postoperative Ileus,alvimopan
Postoperative Increased Intraocular Pressure,"apraclonidine, nepafenac"
Postoperative Ocular Inflammation,"bromfenac, dexamethasone, dexamethasone ,  tobramycin, diclofenac, difluprednate, ketorolac, loteprednol, nepafenac, prednisolone"
Postoperative Pain,"bupivacaine, fentanyl, ketorolac"
Postpartum Bleeding,"carboprost, methylergonovine, misoprostol, oxytocin"
Postpartum Breast Pain,"methyltestosterone, testosterone"
Postpartum Depression,"brexanolone, citalopram, fluoxetine, paroxetine, sertraline, venlafaxine"
Postural Orthostatic Tachycardia Syndrome,"bupropion, clonidine, fludrocortisone, labetalol, methylphenidate, midodrine, octreotide, sodium chloride"
Pouchitis,"ciprofloxacin, metronidazole"
Prader-Willi Syndrome,somatropin
Pre-Exposure Prophylaxis,"emtricitabine ,  tenofovir, emtricitabine ,  tenofovir alafenamide"
Precocious Puberty,"histrelin, leuprolide, nafarelin, tamoxifen, triptorelin"
Premature Ejaculation,"benzocaine, clomipramine, fluoxetine"
Premature Labor,"hydroxyprogesterone, nifedipine, progesterone, terbutaline"
Premature Ventricular Depolarizations,"acebutolol, bisoprolol, metoprolol"
Premenstrual Dysphoric Disorder,"acetaminophen ,  pamabrom ,  pyrilamine, bupropion, citalopram, drospirenone ,  ethinyl estradiol, drospirenone ,  ethinyl estradiol ,  levomefolate calcium, escitalopram, fluoxetine, pamabrom, paroxetine, sertraline, venlafaxine"
Premenstrual Syndrome,"acetaminophen ,  caffeine ,  pyrilamine, acetaminophen ,  pamabrom, acetaminophen ,  pamabrom ,  pyrilamine, ethinyl estradiol ,  levonorgestrel, pamabrom"
Prepubertal Cryptorchidism,chorionic gonadotropin (hcg)
Prevention of Atherothrombotic Events,"ticagrelor, vorapaxar"
Prevention of Bladder infection (Cystitis Prophylaxis),"methenamine, nitrofurantoin, sulfamethoxazole ,  trimethoprim, trimethoprim"
Prevention of Cardiovascular Disease,"amlodipine ,  atorvastatin, aspirin ,  omeprazole, atorvastatin, rosuvastatin, simvastatin, telmisartan"
Prevention of Clostridioides difficile Infection Recurrence,bezlotoxumab
Prevention of Dental Caries,fluoride
Prevention of Falls,cholecalciferol
Prevention of Fractures,cholecalciferol
Prevention of Hypokalemia,"potassium bicarbonate, potassium bicarbonate ,  potassium chloride, potassium chloride, potassium gluconate"
Prevention of Osteoporosis,"alendronate, bazedoxifene ,  conjugated estrogens, estradiol ,  levonorgestrel, ethinyl estradiol ,  norethindrone, ibandronate, raloxifene, risedronate, zoledronic acid"
Prevention of Perinatal Group B Streptococcal Disease,"ampicillin, cefazolin, clindamycin, penicillin g potassium, penicillin g sodium, vancomycin"
Prevention of Phototoxicity in Erythropoietic Protoporphyria,afamelanotide
Prevention of Radiographic Contrast Nephropathy,fenoldopam
Prevention of Sunburn,zinc oxide
Prevention of Thromboembolism in Atrial Fibrillation,"apixaban, aspirin, dabigatran, edoxaban, rivaroxaban, warfarin"
Primary Biliary Cholangitis,"azathioprine, colchicine, obeticholic acid, ursodiol"
Primary Hyperaldosteronism,spironolactone
Primary Hyperaldosteronism Diagnosis,spironolactone
Primary Hyperparathyroidism,cinacalcet
Primary IGF-1 Deficiency,mecasermin
Primary Immunodeficiency Syndrome,"hyaluronidase ,  immune globulin, immune globulin intravenous, immune globulin intravenous and subcutaneous, immune globulin subcutaneous"
Primary Mediastinal Large B-cell Lymphoma,pembrolizumab
Primary Nocturnal Enuresis,"desmopressin, imipramine, nortriptyline"
Primary Ovarian Failure,"conjugated estrogens, conjugated estrogens ,  medroxyprogesterone, esterified estrogens, estradiol, estropipate, ethinyl estradiol"
Primary Periodic Paralysis,dichlorphenamide
Proctitis,"ceftriaxone, doxycycline, hydrocortisone"
Production of Miosis,"acetylcholine, carbachol, pilocarpine"
Progesterone Insufficiency,progesterone
Prostate Cancer,"abiraterone, bicalutamide, degarelix, docetaxel, enzalutamide, estradiol, flutamide, goserelin, leuprolide, triptorelin"
Prostatitis,"cephalexin, ciprofloxacin, doxycycline, levofloxacin, moxifloxacin, ofloxacin, oxybutynin, sulfamethoxazole ,  trimethoprim"
Prosthetic Heart Valves - Thrombosis Prophylaxis,"aspirin, dipyridamole, warfarin"
"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis","aspirin, warfarin"
"Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis",warfarin
Protein C Deficiency,protein c
Protein S Deficiency,warfarin
Pruritus,"ammonium lactate, calamine, cyproheptadine, diphenhydramine, doxepin, gabapentin, hydrocortisone, hydroxyzine, lidocaine, ondansetron"
Pruritus of Partial Biliary Obstruction,cholestyramine
Pseudoallescheriosis,voriconazole
Pseudobulbar Affect,"dextromethorphan ,  quinidine"
"Pseudogout, Prophylaxis",colchicine
Pseudohypoparathyroidism,"calcium lactate, calcium phosphate, tribasic"
Pseudomembranous Colitis,"metronidazole, vancomycin"
Pseudotumor Cerebri,acetazolamide
Psittacosis,"chloramphenicol, doxycycline, minocycline, tetracycline"
Psoriasis,"acitretin, adalimumab, betamethasone ,  calcipotriene, calcipotriene, clobetasol, cyclosporine, desonide, fluocinonide, hydrocortisone, methotrexate, mometasone, prednisone, triamcinolone, ustekinumab"
Psoriatic Arthritis,"adalimumab, apremilast, certolizumab, dexamethasone, etanercept, infliximab, leflunomide, methotrexate, prednisone, secukinumab, sulfasalazine, triamcinolone, ustekinumab"
Psychosis,"chlorpromazine, fluphenazine, haloperidol, iloperidone, perphenazine, prochlorperazine, thiothixene"
Pubertal Gynecomastia,"anastrozole, clomiphene"
Pudendal Neuralgia,"amitriptyline, gabapentin"
Pulmonary Edema,"bumetanide, ethacrynic acid, furosemide"
Pulmonary Embolism,"alteplase, apixaban, dabigatran, edoxaban, fondaparinux, heparin, rivaroxaban, urokinase"
"Pulmonary Embolism, First Event",warfarin
"Pulmonary Embolism, Recurrent Event","rivaroxaban, warfarin"
Pulmonary Fibrosis,"infliximab, mycophenolate mofetil"
Pulmonary Hypertension,"ambrisentan, bosentan, epoprostenol, iloprost, isosorbide dinitrate, macitentan, riociguat, sildenafil, tadalafil, treprostinil"
Pulmonary Tuberculosis,dexamethasone
Pupillary Dilation,"atropine, cyclopentolate, epinephrine, phenylephrine, tropicamide"
Pyoderma Gangrenosum,infliximab
Q Fever,"doxycycline, minocycline"
Rabbit Fever (Tularemia),"chloramphenicol, ciprofloxacin, doxycycline, gentamicin, minocycline, streptomycin, tobramycin"
Rabies Prophylaxis,"rabies immune globulin, human, rabies vaccine, human diploid cell, rabies vaccine, purified chick embryo cell"
Radiation Emergency,"pentetate calcium trisodium, pentetate zinc trisodium, potassium iodide, prussian blue"
Radiculopathy,"ibuprofen, naproxen"
Radiographic Exam,metoclopramide
Radionuclide Myocardial Perfusion Study,"adenosine, dipyridamole, regadenoson"
Ramsay Hunt Syndrome,"acyclovir, prednisone, valacyclovir"
Rat-bite Fever,"penicillin g potassium, penicillin g sodium, penicillin v potassium, procaine penicillin"
Raynaud's Syndrome,"amlodipine, diltiazem, doxazosin, felodipine, isoxsuprine, isradipine, nifedipine, nisoldipine, nitroglycerin, prazosin, trolamine salicylate"
Reactive Perforating Collangenosis,allopurinol
Reduction of Perinatal Transmission of HIV,"nevirapine, zidovudine"
Reflex Sympathetic Dystrophy Syndrome,"amitriptyline, carbamazepine, doxepin, gabapentin, milnacipran, nortriptyline, pregabalin, trazodone"
"Refraction, Assessment","atropine, cyclopentolate, homatropine, tropicamide"
Reiter's Syndrome,adalimumab
Rejection Prophylaxis,"belatacept, muromonab-cd3, mycophenolic acid"
Rejection Reversal,muromonab-cd3
Renal Angiomyolipoma,everolimus
Renal Arteriography,"iodixanol, ioversol"
Renal Cell Carcinoma,"aldesleukin, axitinib, bevacizumab, cabozantinib, capecitabine, everolimus, lenvatinib, medroxyprogesterone, nivolumab, pazopanib, sorafenib, sunitinib, temsirolimus"
Renal Failure,"ethacrynic acid, furosemide, torsemide"
Renal Osteodystrophy,"calcifediol, calcitriol, ergocalciferol"
Renal Transplant,"anti-thymocyte globulin (rabbit), azathioprine, furosemide, lymphocyte immune globulin, anti-thy (equine)"
Renal Tubular Acidosis,potassium citrate
Respiratory Depression,doxapram
Respiratory Distress Syndrome,"beractant, calfactant, poractant"
Respiratory Failure,"caffeine ,  sodium benzoate, nitric oxide"
Respiratory Syncytial Virus,"palivizumab, ribavirin"
Restless Legs Syndrome,"carbidopa ,  levodopa, clonazepam, clonidine, gabapentin, gabapentin enacarbil, lamotrigine, levodopa, pramipexole, pregabalin, ropinirole, rotigotine, tramadol"
Retinal Disorders,voretigene neparvovec
Retinopathy,ranibizumab
Retinopathy Prophylaxis,vitamin e
"Revascularization Procedures, Prophylaxis","aspirin, pravastatin"
Reversal of Acquired Coagulation Factor Deficiency,prothrombin complex
Reversal of Anesthesia,phentolamine
Reversal of Anticoagulation,coagulation factor Xa
Reversal of Dabigatran Anticoagulation,idarucizumab
Reversal of Neuromuscular Blockade,"neostigmine, sugammadex"
Reversal of Nondepolarizing Muscle Relaxants,"atropine ,  edrophonium, neostigmine, pyridostigmine, sugammadex"
Reversal of Opioid Sedation,naloxone
Reversal of Sedation,flumazenil
"Reversible Airways Disease, Maintenance","beclomethasone, budesonide"
Rh-Isoimmunization,rho (d) immune globulin
Rhabdomyosarcoma,"dactinomycin, vincristine"
Rheumatic Fever,aspirin
Rheumatic Fever Prophylaxis,"erythromycin, penicillin g benzathine, penicillin v potassium, sulfadiazine"
Rheumatoid Arthritis,"acetaminophen ,  hydrocodone, celecoxib, diclofenac, hydroxychloroquine, ibuprofen, leflunomide, meloxicam, methotrexate, naproxen, prednisone, sulfasalazine"
Rhinitis,"brompheniramine ,  phenylephrine, chlorpheniramine ,  methscopolamine ,  phenylephrine, fluticasone"
Rhinorrhea,"acetaminophen ,  chlorpheniramine, acetaminophen ,  chlorpheniramine ,  dextromethorphan ,  phenylephrine, acetaminophen ,  dextromethorphan ,  doxylamine ,  phenylephrine, brompheniramine ,  codeine, chlophedianol ,  dexbrompheniramine, dexbrompheniramine ,  phenylephrine, dextromethorphan ,  pyrilamine, doxylamine, ipratropium, triprolidine"
Rickets,"calcitriol, ergocalciferol"
Rickettsial Infection,"chloramphenicol, doxycycline, tetracycline"
Rosacea,"azelaic acid, brimonidine, doxycycline, isotretinoin, ivermectin, metronidazole, minocycline, sulfacetamide sodium ,  sulfur"
Rubella,immune globulin intramuscular
Rubella Prophylaxis,"measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine, measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine ,  varicella virus vaccine"
SAPHO Syndrome,"etanercept, infliximab"
SIADH,"conivaptan, demeclocycline"
STD Prophylaxis,"azithromycin, cefixime, ceftriaxone, doxycycline, metronidazole"
Salivary Gland Cancer,trastuzumab
Salmonella Enteric Fever,"ceftriaxone, ciprofloxacin, ofloxacin"
Salmonella Gastroenteritis,"cefotaxime, ceftriaxone, ciprofloxacin, ofloxacin"
Sarcoidosis,"adalimumab, azathioprine, chloroquine, colchicine, corticotropin, cortisone, dexamethasone, infliximab, prednisone, triamcinolone"
Scabies,"crotamiton, ivermectin, lindane, permethrin"
Schilling Test,"cyanocobalamin, hydroxocobalamin"
Schistosoma haematobium,praziquantel
Schistosoma japonicum,praziquantel
Schistosoma mansoni,praziquantel
Schistosoma mekongi,praziquantel
Schizoaffective Disorder,"aripiprazole, carbamazepine, fluoxetine, lamotrigine, lithium, lurasidone, olanzapine, paliperidone, quetiapine, risperidone, ziprasidone"
Schizophrenia,"aripiprazole, chlorpromazine, clozapine, loxapine, olanzapine, paliperidone, quetiapine, risperidone, ziprasidone"
Schnitzler Syndrome,anakinra
Sciatica,"acetaminophen, aspirin, cyclobenzaprine, diclofenac, diclofenac ,  misoprostol, ibuprofen, naproxen"
Scleroderma,"cyclophosphamide, methotrexate, prednisone"
Scrapes,"benzethonium chloride, vitamin a & d"
